Enero 2026											
											
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	77%	24	24	0	31						
2	61%	19	19	0	31						
3.1	77%	24	24	0	31						
3.2	74%	23	23	0	31						
5	84%	26	26	0	31						
6.1	62%	58	58	0	93						
											
	73%	174	174	0	248						
											
											
Febrero 2026											
											
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible	Column 1	Retreat	IN	OUT	Nights	OCC/HAB
1	71%	20	13	7	28		GIGI	02/15/2026	02/22/2026	7	100%
2	86%	24	17	7	28						
3.1 Privado	86%	32	25	7	37						
3.1 Shared											
3.2	57%	16	9	7	28						
5	89%	25	18	7	28						
	0%	0									
6.1 Privado	91%	63	42	21	69	6			TOTAL	7	
6.1 Shared											
6.2	75%	21	14	7	28						
	70%	201	138	6	246						
											
Marzo											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible		Jessica	01/03/2026	07/03/2026	6	100%
1	84%	26	13	13	31		Kelsey	21/03/2026	28/03/2026	7	100%
2	77%	24	11	13	31						
3.1 Privado	69%	18	5	13	26						
3.1 Shared	87%	13	13	0	15						
3.2	74%	23	10	13	31						
5	87%	27	14	13	31						
6.1	45%	30	17	13	67				TOTAL	13	
6.2	77%	24	11	13	31						
	75%	185	94		263						
											
Abril											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	57%	17	17	0	30						
2	60%	18	18	0	30						
3.1	37%	11	11	0	30						
3.2	20%	6	6	0	30						
5	37%	11	11	0	30						
6.1	28%	25	25	0	90						
6.2	40%	12	12	0	30				TOTAL	0	
	40%	100	100		270						
											
											
Mayo											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	32%	10	10	0	31						
2	35%	11	11	0	31						
3.1	58%	18	18	0	31						
3.2	61%	19	19	0	31						
5	48%	15	15	0	31						
6.1	50%	45	45	0	90						
6.2	100%	31	31	0	31				TOTAL	0	
	55%	149	149		276						
											
											
Junio											
											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	23%	7		0	30						
2	13%	4	4	0	30						
3.1	13%	4		0	30						
3.2	37%	11		0	30						
5	0%	0		0	30						
6.1	7%	6		0	90						
6.2	33%	10	11	0	30				TOTAL	0	
	18%	42	15		270						
											
											
Julio											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	0%	0		0	31						
2	0%	0		0	31						
3.1	0%	0		0	31						
3.2	0%	0		0	31						
5	0%	0		0	31						
6.1	0%	0		0	90						
6.2	13%	4	4	0	31				TOTAL	0	
	2%	4	4		276						
											
											
Agosto											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	0%	0		0	31						
2	0%	0		0	31						
3.1	0%	0		0	31						
3.2	13%	4	4	0	31						
5	0%	0		0	31						
6.1	0%	0		0	90						
6.2	0%	0		0	31				TOTAL	0	
	2%	4	4		276						
											
											
septiembre											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	0%	0		0	30						
2	0%	0		0	30						
3.1	0%	0		0	30						
3.2	0%	0		0	30						
5	0%	0		0	30						
6.1	0%	0		0	90						
6.2	0%	0		0	30				TOTAL	0	
	0%	0	0	16	270						
											
											
octubre											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible		Skate & Flow	04/10/2026	10/10/2026	6	
1	19%	6		6	31		Sierra	16/10/2026	2/11/2026	16	2, 3.1, 3.2
2	71%	22		22	31						
3.1	71%	22		22	31						
3.2	84%	26	4	22	31						
5	19%	6		6	31						
6.1	20%	18		18	90						
6.2	32%	10	4	6	31				TOTAL	22	
	45%	110	8	3	276						
											
											
noviembre											
}							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible		Sierra 1	01/11/2026	02/11/2026	1	2, 3.1, 3.2
1	23%	7		7	30		Once Journeys 	02/11/2026	05/11/26	3	100%
2	3%	1		1	30		Christina	10/11/2026	13/11/2026	3	100%
3.1	3%	1		1	30						
3.2	3%	1		1	30						
5	23%	7		7	30						
6.1	23%	21		21	90						
6.2	23%	7		7	30				TOTAL	7	
	15%	45	0		270						
											
Diciembre											
							Retreat	IN	OUT	Nights	OCC/HAB
Room	Occupancy	Total	Private Retreats	Group Retreats	Days Possible						
1	0%	0		0	31						
2	0%	0		0	31						
3.1	0%	0		0	31						
3.2	0%	0		0	31						
5	0%	0		0	31						
6.1	0%	0		0	90						
6.2	0%	0		0	31				TOTAL	0	
	0%	0	0		276						