MKT DASHBOARD,,,
,,,
Date,Month,Stories,Followers
20,March,4,1
22,March,3,3
23,March,6,3
24,March,6,2
25,March,3,2
26,March,2,4
27,March,4,3
28,March,3,5
29,March,4,1
30,March,2,1
31,March,0,3
1,April,7,2
2,April,2,1
3,April,2,4
4,April,3,0
5,April,3,4
6,April,5,4
7,April,3,2
8,April,3,3
9,April,9,1
10,April,1,2
11,April,4,11
12,April,4,8
13,April,1,2
14,April,5,4
15,April,9,2
16,April,1,2
17,April,1,2
18,April,1,1
19,April,1,1
20,April,2,2
21,April,6,2
22,April,4,
23,April,2,4
24,April,5,2
25,April,3,1
26,April,1,3
27,April,2,2
28,April,1,2
29,April,2,1
30,April,5,1
1,May,9,2
2,May,5,2
3,May,1,3
4,May,1,2
5,May,1,1
6,May,7,4
7,May,5,2
8,May,1,4
9,May,3,6
10,May,5,5
11,May,5,1
12,May,4,2
13,May,9,3
14,May,3,2
15,May,1,4
16,May,1,2
17,May,1,3
18,May,3,11
19,May,1,4
20,May,1,3
21,May,1,2
22,May,1,4
23,May,2,2
24,May,2,1
25,May,,
26,May,,
27,May,,
28,May,,
29,May,,
30,May,,
31,May,,
1,June,,
2,June,,
3,June,,
4,June,,
5,June,,
6,June,,
7,June,,
8,June,,
9,June,,
10,June,,
11,June,,
12,June,,
13,June,,
14,June,,
15,June,,
16,June,,
17,June,,
18,June,,
19,June,,
20,June,,
21,June,,
22,June,,
23,June,,
24,June,,
25,June,,
26,June,,
27,June,,
28,June,,
29,June,,
30,June,,